target,start_time,end_time,length
12,21:46:52.50,21:47:15.00,4
12,21:47:45.00,21:49:00.00,11
12,21:50:07.50,21:50:22.50,3
12,21:51:15.00,21:51:30.00,3
12,21:55:00.00,21:55:15.00,3
12,21:56:15.00,21:56:30.00,3
12,21:57:00.00,21:58:37.50,14
12,21:58:52.50,22:00:00.00,10
12,22:05:15.00,22:05:37.50,4
12,22:11:22.50,22:11:37.50,3
12,22:15:15.00,22:15:45.00,5
12,22:16:07.50,22:16:37.50,5
12,22:17:00.00,22:17:52.50,8
12,22:18:52.50,22:20:00.00,10
12,22:21:07.50,22:21:37.50,5
12,22:31:00.00,22:31:22.50,4
15,21:41:37.50,21:42:00.00,4
15,21:44:07.50,21:44:22.50,3
15,21:50:52.50,21:51:07.50,3
15,21:54:37.50,21:54:52.50,3
15,22:01:37.50,22:02:00.00,4
15,22:02:15.00,22:03:30.00,11
15,22:03:45.00,22:05:07.50,12
15,22:06:45.00,22:10:07.50,28
15,22:20:07.50,22:20:30.00,4
15,22:22:07.50,22:23:00.00,8
15,22:24:00.00,22:24:22.50,4
15,22:25:00.00,22:25:15.00,3
15,22:27:52.50,22:28:07.50,3
